"Tool","answer_total","error_total","answer_Liveness","error_Liveness","answer_OneSafe","error_OneSafe","answer_QuasiLiveness","error_QuasiLiveness","answer_ReachabilityDeadlock","error_ReachabilityDeadlock","answer_StableMarking","error_StableMarking"
"2022-gold",7850,5,1540,0,1645,0,1518,5,1589,0,1558,0
"BVT",8110,0,1602,0,1678,0,1571,0,1637,0,1622,0
"GreatSPN",4351,1,648,1,934,0,906,0,929,0,934,0
"ITS-Tools",7939,0,1550,0,1676,0,1513,0,1617,0,1583,0
"LTSMin",728,1,NA,NA,NA,NA,NA,NA,728,1,NA,NA
"LTSMin+red",7763,0,1383,0,1676,0,1519,0,1611,0,1574,0
"LoLA",7236,24,1491,0,1628,0,1397,0,1379,0,1341,24
"LoLa+red",7946,2,1544,2,1676,0,1535,0,1612,0,1579,0
"Marcie",624,0,NA,NA,NA,NA,NA,NA,624,0,NA,NA
"Marcie+red",7767,0,1384,0,1676,0,1519,0,1616,0,1572,0
"Smart",2079,53,323,22,464,0,353,0,486,28,453,3
"Smart+red",7787,57,1432,48,1676,0,1520,1,1587,8,1572,0
"Tapaal",6985,19,1211,0,1632,0,1326,0,1443,6,1373,13
"Ideal Tool",8390,0,1678,0,1678,0,1678,0,1678,0,1678,0
